number,resolver,resolved_at
1144,['frank-zsy'],2023-01-22 20:00:04
1153,['frank-zsy'],2023-01-27 18:45:40
1160,['frank-zsy'],2023-01-29 05:50:02
1161,[],2023-01-28 18:31:57
1163,"['frank-zsy', 'will-ww']",2023-02-09 00:17:38
1164,"['xgdyp', 'frank-zsy']",2023-02-05 20:00:03
1168,['frank-zsy'],2023-02-05 01:57:21
1172,['frank-zsy'],2023-02-07 00:00:03
1176,[],2023-02-12 20:00:02
1178,['frank-zsy'],2023-02-08 00:10:02
1180,"['xiaoya-yaya', 'frank-zsy']",2023-02-09 01:45:03
1186,['frank-zsy'],2023-02-20 22:50:02
1188,[],2023-02-19 20:00:04
1195,['frank-zsy'],2023-02-13 18:50:03
1197,['frank-zsy'],2023-02-13 23:15:02
1199,['frank-zsy'],2023-02-13 23:20:07
1201,['frank-zsy'],2023-02-14 18:05:07
1206,[],2023-02-26 20:00:04
1210,['frank-zsy'],2023-02-22 23:45:02
1212,"['open-digger-bot[bot]', 'frank-zsy']",2023-02-23 04:45:03
1216,['frank-zsy'],2023-05-24 19:05:02
1217,"['open-digger-bot[bot]', 'Zzzzzhuzhiwei', 'frank-zsy']",2023-04-10 17:29:05
1218,"['open-digger-bot[bot]', 'frank-zsy']",2023-03-05 20:00:03
1221,['Zzzzzhuzhiwei'],2023-03-02 18:10:03
1226,[],2023-03-12 20:00:07
1228,['yanchaomei'],2023-03-20 22:21:26
1230,[],2023-03-21 20:24:38
1232,['xgdyp'],2023-03-22 01:24:43
1233,"['open-digger-bot[bot]', 'frank-zsy']",2023-03-15 06:53:41
1234,"['open-digger-bot[bot]', 'frank-zsy', 'xgdyp']",2023-03-22 01:25:34
1235,"['Nliver', 'frank-zsy', 'xgdyp', 'tyn1998']",2023-04-19 18:37:54
1237,['open-digger-bot[bot]'],2023-03-27 17:24:05
1239,['open-digger-bot[bot]'],2023-04-23 20:00:01
1243,['open-digger-bot[bot]'],2023-04-07 17:54:41
1245,['birdflyi'],2023-04-09 04:01:05
1246,"['frank-zsy', 'xgdyp']",2023-07-09 23:25:56
1247,[],2023-04-16 00:16:21
1249,"['open-digger-bot[bot]', 'Zzzzzhuzhiwei']",2023-04-09 17:35:00
1252,['xgdyp'],2023-04-18 20:42:05
1253,['birdflyi'],2023-04-16 00:22:47
1255,"['dasenCoding', 'xgdyp']",2023-04-16 23:58:32
1256,"['frank-zsy', 'tyn1998']",2023-05-16 22:15:22
1264,[],2023-04-30 20:00:02
1265,"['lhbvvvvv', 'chenxi112']",2024-01-03 22:01:54
1266,['Zzzzzhuzhiwei'],2023-11-29 19:06:00
1268,['frank-zsy'],2023-05-24 19:05:03
1269,['frank-zsy'],2023-05-29 20:44:07
1270,['frank-zsy'],2023-05-29 20:44:06
1271,['frank-zsy'],2023-05-05 05:47:22
1272,['tc2000731'],2023-05-03 16:05:02
1274,['xgdyp'],2023-06-12 20:06:00
1275,[],2023-05-07 20:00:01
1276,"['open-digger-bot[bot]', 'xgdyp']",2023-05-16 18:59:28
1277,['open-digger-bot[bot]'],2023-05-30 17:41:33
1279,['frank-zsy'],2023-05-16 19:01:05
1280,"['xgdyp', 'jhzhou002']",2023-05-30 17:34:25
1283,['birdflyi'],2023-05-16 19:01:52
1285,[],2023-05-14 20:00:02
1286,"['bifenglin', 'Zzzzzhuzhiwei', 'frank-zsy']",2023-05-08 00:23:13
1290,[],2023-05-21 20:00:02
1291,"['zhicheng-ning', 'xgdyp']",2023-05-30 17:34:11
1293,['open-digger-bot[bot]'],2023-05-30 01:57:41
1297,['frank-zsy'],2023-05-28 20:00:02
1299,"['stevending1st', 'frank-zsy']",2023-05-28 07:02:30
1300,[],2023-06-04 20:00:02
1302,['xiaoya-yaya'],2023-05-29 02:05:02
1304,['open-digger-bot[bot]'],2023-06-04 22:16:17
1307,[],2023-06-11 20:00:02
1312,[],2023-06-18 20:00:02
1313,['birdflyi'],2023-06-12 20:10:02
1315,['birdflyi'],2023-06-13 19:35:52
1317,"['Zzzzzhuzhiwei', 'xgdyp', 'will-ww']",2023-07-31 18:33:14
1318,[],2023-06-25 20:00:02
1319,['Zzzzzhuzhiwei'],2023-06-19 00:05:02
1321,"['open-digger-bot[bot]', 'bifenglin', 'Zzzzzhuzhiwei', 'xgdyp']",2023-07-31 18:31:56
1322,['PureNatural'],2023-07-02 22:40:42
1325,[],2023-07-02 20:00:02
1326,['open-digger-bot[bot]'],2023-07-25 03:27:35
1328,[],2023-07-09 20:00:02
1329,['frank-zsy'],2023-07-09 23:25:27
1331,['frank-zsy'],2023-07-07 04:21:15
1334,[],2023-07-16 20:00:02
1335,['open-digger-bot[bot]'],2023-07-25 03:27:21
1338,['frank-zsy'],2023-07-11 00:38:34
1341,[],2023-07-23 20:00:03
1342,['frank-zsy'],2023-07-25 06:59:04
1345,[],2023-07-30 20:00:02
1348,['Zzzzzhuzhiwei'],2023-08-08 04:48:42
1349,[],2023-08-06 20:00:03
1350,['frank-zsy'],2023-08-02 23:50:01
1351,['birdflyi'],2023-08-01 00:59:55
1355,['Gdakgdak22'],2023-08-04 14:56:06
1356,[],2023-08-13 20:00:03
1357,['frank-zsy'],2023-08-07 00:23:09
1360,"['open-digger-bot[bot]', 'frank-zsy']",2024-01-03 19:29:31
1361,['open-digger-bot[bot]'],2023-08-13 17:56:55
1362,['frank-zsy'],2023-08-13 17:55:27
1364,['frank-zsy'],2023-08-28 00:05:02
1365,[],2023-08-20 20:00:03
1366,"['xgdyp', 'open-digger-bot[bot]', 'frank-zsy']",2023-08-17 21:39:55
1367,[],2023-08-27 20:00:02
1368,['open-digger-bot[bot]'],2023-09-05 03:35:47
1371,['frank-zsy'],2023-08-23 23:37:21
1374,['frank-zsy'],2023-08-28 00:05:02
1376,['birdflyi'],2023-08-26 17:42:43
1378,[],2023-09-03 20:00:03
1380,['PureNatural'],2023-09-18 22:27:10
1383,[],2023-09-10 20:00:02
1384,[],2023-09-05 23:14:57
1385,"['open-digger-bot[bot]', 'Zzzzzhuzhiwei', 'frank-zsy']",2023-10-07 02:52:48
1386,[],2023-09-17 20:00:02
1388,['frank-zsy'],2023-10-10 20:18:31
1389,[],2023-09-24 20:00:03
1392,[],2023-10-01 20:00:02
1393,['birdflyi'],2023-09-27 00:18:21
1395,[],2023-10-08 20:00:03
1396,['open-digger-bot[bot]'],2023-10-07 03:05:51
1397,['frank-zsy'],2023-10-06 19:30:05
1398,['frank-zsy'],2023-10-09 23:11:55
1400,['Zzzzzhuzhiwei'],2023-10-10 18:03:37
1402,[],2023-10-15 20:00:01
1406,['open-digger-bot[bot]'],2023-12-26 01:55:22
1407,['frank-zsy'],2023-10-16 00:47:19
1408,['frank-zsy'],2023-10-21 02:35:22
1410,[],2023-10-22 20:00:03
1411,['wj23027'],2023-10-30 21:48:48
1413,[],2023-10-29 20:00:03
1414,"['srsxyc', 'frank-zsy']",2023-11-02 18:52:12
1415,"['Peng99999', 'frank-zsy']",2023-10-29 03:34:30
1416,['birdflyi'],2023-10-28 01:24:26
1419,[],2023-11-05 20:00:03
1420,['open-digger-bot[bot]'],2023-11-14 05:37:09
1421,['birdflyi'],2024-02-04 00:33:54
1426,[],2023-11-12 20:00:02
1427,[],2023-11-19 20:00:03
1428,['open-digger-bot[bot]'],2023-11-28 15:06:34
1429,[],2023-11-26 20:00:03
1430,['frank-zsy'],2023-11-29 19:05:11
1432,[],2023-12-03 20:00:03
1433,['birdflyi'],2023-11-28 15:08:13
1435,['open-digger-bot[bot]'],2023-12-05 17:49:09
1437,['frank-zsy'],2023-12-11 06:25:55
1439,[],2023-12-10 20:00:03
1440,['frank-zsy'],2023-12-11 06:26:40
1441,[],2023-12-17 20:00:03
1444,['open-digger-bot[bot]'],2023-12-26 07:28:15
1447,['open-digger-bot[bot]'],2024-02-22 23:17:43
1449,"['open-digger-bot[bot]', 'frank-zsy']",2023-12-26 01:12:31
1450,[],2023-12-24 20:00:02
1453,[],2023-12-31 20:00:03
1454,['frank-zsy'],2023-12-26 01:10:00
1456,['open-digger-bot[bot]'],2024-01-08 23:55:26
1457,['birdflyi'],2024-01-01 05:42:52
1459,[],2024-01-07 20:00:02
1463,['birdflyi'],2024-01-15 23:16:23
